S.No,Symbol,LTP,Point,Change,%,Change,Open,High,Low,Volume,Prev.,Close
1,ACLBSL,900.00,25.90,2.96,879.00,900.00,860.10,"26,123.00",874.10
2,ADBL,244.00,-1.00,-0.41,241.10,247.00,240.10,"24,472.00",245.00
3,ADBLD83,"1,098.50",42.50,4.02,"1,077.00","1,098.50","1,077.00",110.00,"1,056.00"
4,AHL,443.00,-5.70,-1.27,455.00,464.00,433.00,"11,701.00",448.70
5,AHPC,165.00,-0.90,-0.54,165.00,171.00,164.00,"36,594.00",165.90
6,AKJCL,207.00,-3.00,-1.43,212.80,213.00,206.00,"11,762.00",210.00
7,AKPL,167.10,-3.90,-2.28,172.00,172.00,167.00,"42,105.00",171.00
8,ALBSL,880.00,-19.00,-2.11,890.00,915.10,870.00,"28,406.00",899.00
9,ALICL,575.50,-1.80,-0.31,577.30,585.00,567.00,"45,743.00",577.30
10,ANLB,"2,120.00",-16.90,-0.79,"2,135.00","2,170.00","2,093.00","3,366.00","2,136.90"
11,API,172.60,-4.00,-2.27,180.10,180.10,171.50,"92,456.00",176.60
12,AVYAN,847.00,-17.00,-1.97,879.00,896.50,842.00,"29,303.00",864.00
13,BARUN,231.90,-3.60,-1.53,238.90,239.00,228.00,"14,826.00",235.50
14,BBC,"3,728.90",-13.10,-0.35,"3,788.00","3,788.00","3,700.00",200.00,"3,742.00"
15,BEDC,365.00,-9.10,-2.43,381.00,381.50,363.10,"10,011.00",374.10
16,BFC,391.00,-3.00,-0.76,399.00,399.00,386.40,"27,035.00",394.00
17,BGWT,626.90,-4.10,-0.65,630.00,642.60,615.00,"22,153.00",631.00
18,BHDC,480.00,-1.90,-0.39,481.90,486.00,472.40,"7,986.00",481.90
19,BHL,325.00,-3.70,-1.13,330.00,336.00,321.10,"6,425.00",328.70
20,BHPL,553.00,-15.90,-2.79,577.00,577.00,530.00,"8,407.00",568.90
21,BNHC,520.00,28.00,5.69,501.80,530.40,493.00,"46,632.00",492.00
22,BNL,"16,398.00",398.00,2.49,"16,320.00","16,398.00","16,320.00",30.00,"16,000.00"
23,BNT,"13,000.00",289.00,2.27,"12,964.90","13,224.30","12,800.00",350.00,"12,711.00"
24,BOKD86,985.00,-15.00,-1.50,985.00,985.00,985.00,10.00,"1,000.00"
25,BPCL,294.00,-0.50,-0.17,294.50,299.80,290.10,"5,355.00",294.50
26,C30MF,8.37,0.10,1.21,8.21,8.37,8.21,200.00,8.27
27,CBBL,835.00,-7.70,-0.91,843.00,850.00,833.00,"10,575.00",842.70
28,CBLD88,"1,059.00",18.00,1.73,"1,046.00","1,061.00","1,046.00",250.00,"1,041.00"
29,CCBD88,"1,061.00",9.00,0.86,"1,056.00","1,061.00","1,056.00",60.00,"1,052.00"
30,CFCL,394.00,-2.00,-0.51,396.00,402.00,386.00,"39,425.00",396.00
31,CGH,787.00,-8.50,-1.07,796.00,808.00,787.00,"10,933.00",795.50
32,CHCL,434.30,-5.70,-1.30,441.00,446.00,434.30,"30,430.00",440.00
33,CHDC,739.00,-31.00,-4.03,780.00,780.00,735.00,"88,108.00",770.00
34,CHL,314.90,-7.10,-2.20,323.00,327.70,308.80,"18,223.00",322.00
35,CIT,"2,110.10",-1.90,-0.09,"2,112.00","2,135.00","2,110.10","10,386.00","2,112.00"
36,CITY,600.00,-13.00,-2.12,615.00,615.00,596.10,"12,698.00",613.00
37,CIZBD90,"1,026.00",-33.00,-3.12,"1,038.00","1,038.00","1,026.00",50.00,"1,059.00"
38,CKHL,527.90,-18.10,-3.32,540.00,550.00,525.00,"7,840.00",546.00
39,CLI,462.90,0.50,0.11,471.00,474.00,460.00,"58,629.00",462.40
40,CMF1,8.83,-0.11,-1.23,8.83,8.83,8.82,"13,000.00",8.94
41,CMF2,8.14,0.07,0.87,8.22,8.22,8.05,"2,550.00",8.07
42,CORBL,466.10,-8.90,-1.87,483.00,489.00,460.80,"6,818.00",475.00
43,CYCL,"1,525.00",-53.00,-3.36,"1,546.50","1,600.00","1,517.00","9,069.00","1,578.00"
44,CZBIL,161.90,-0.10,-0.06,165.00,165.00,160.60,"13,653.00",162.00
45,DDBL,718.10,-3.30,-0.46,734.00,739.60,718.00,"18,904.00",721.40
46,DHPL,198.90,-3.60,-1.78,200.00,203.90,197.00,"6,846.00",202.50
47,DLBS,"1,220.00",-44.00,-3.48,"1,265.00","1,280.00","1,200.00","4,295.00","1,264.00"
48,DOLTI,411.00,-14.00,-3.29,420.10,425.10,411.00,"18,726.00",425.00
49,DORDI,406.00,-6.00,-1.46,412.00,419.90,405.40,"8,760.00",412.00
