SN,Symbol,LTP,%Change,Open,High,Low,Volume,P.Close,Difference
1,ACLBSL,916.60,1.54,890.00,919.90,873.90,14299.00,902.70,13.90
2,ADBL,239.00,2.58,236.80,241.50,233.10,37949.00,233.00,6.00
3,ADBLD83,1090.00,0.83,1100.00,1100.00,1090.00,394.00,1081.00,9.00
4,AHL,436.00,1.58,437.00,440.00,427.30,1362.00,429.20,6.80
5,AHPC,157.00,-1.69,162.80,162.80,156.00,49152.00,159.70,-2.70
6,AKJCL,203.90,0.00,201.00,205.00,201.00,10906.00,203.90,0.00
7,AKPL,162.90,-0.06,165.00,165.00,161.00,37196.00,163.00,-0.10
8,ALBSL,824.10,-2.47,845.00,856.00,822.00,13844.00,845.00,-20.90
9,ALICL,536.20,-1.22,544.00,544.00,525.00,16810.00,542.80,-6.60
10,ANLB,2000.00,-1.19,2058.00,2058.00,1990.00,342.00,2024.00,-24.00
11,API,163.30,0.49,162.00,164.70,162.00,45154.00,162.50,0.80
12,AVYAN,834.80,1.31,823.00,839.90,803.00,32652.00,824.00,10.80
13,BARUN,220.00,2.18,215.30,221.90,211.00,21353.00,215.30,4.70
14,BBC,3749.00,0.32,3784.00,3784.00,3650.00,225.00,3737.00,12.00
15,BEDC,361.50,-0.14,355.10,367.00,355.10,5964.00,362.00,-0.50
16,BFC,403.00,0.75,408.00,414.00,399.00,71714.00,400.00,3.00
17,BGWT,598.40,0.07,598.00,599.90,586.10,6294.00,598.00,0.40
18,BHDC,481.80,-0.25,491.00,491.00,474.40,4121.00,483.00,-1.20
19,BHL,319.50,-0.16,324.00,324.90,315.50,5023.00,320.00,-0.50
20,BHPL,533.00,0.00,523.00,535.00,523.00,8001.00,533.00,0.00
21,BNHC,445.00,4.00,434.90,448.60,427.20,6663.00,427.90,17.10
22,BNL,15454.00,0.03,15151.00,15454.00,15151.00,20.00,15450.00,4.00
23,BNT,12600.00,-1.97,12596.00,13900.00,12403.00,700.00,12853.00,-253.00
24,BPCL,292.00,0.69,294.90,294.90,288.00,7586.00,290.00,2.00
25,C30MF,8.35,-1.42,8.60,8.60,8.31,2300.00,8.47,-0.12
26,CBBL,822.10,-1.54,835.00,845.00,822.00,14430.00,835.00,-12.90
27,CFCL,401.00,1.52,399.90,410.00,395.00,61324.00,395.00,6.00
28,CGH,808.00,5.62,767.00,820.00,766.30,33000.00,765.00,43.00
29,CHCL,435.00,1.16,438.00,447.00,430.00,22757.00,430.00,5.00
30,CHDC,673.10,-0.58,670.00,685.00,670.00,10509.00,677.00,-3.90
31,CHL,315.00,-0.91,311.60,317.80,309.00,12737.00,317.90,-2.90
32,CIT,2072.90,0.14,2061.00,2085.00,2060.00,5240.00,2070.00,2.90
33,CITY,622.00,7.99,586.00,623.00,580.00,86649.00,576.00,46.00
34,CIZBD90,1015.00,0.00,1008.00,1015.00,1008.00,130.00,1015.00,0.00
35,CKHL,510.00,3.45,493.00,510.00,493.00,10374.00,493.00,17.00
36,CMF1,8.79,3.05,8.69,8.87,8.69,10900.00,8.53,0.26
37,CORBL,467.50,2.30,460.00,471.90,460.00,7135.00,457.00,10.50
38,CYCL,1584.00,0.25,1548.40,1620.00,1470.00,11405.00,1580.00,4.00
39,CZBIL,155.00,0.13,156.80,156.80,153.00,17067.00,154.80,0.20
40,DDBL,715.00,-0.28,730.00,730.00,708.20,7740.00,717.00,-2.00
41,DHPL,198.00,-1.98,202.00,202.00,198.00,11029.00,202.00,-4.00
42,DLBS,1189.00,-2.54,1220.00,1230.50,1152.00,2791.00,1220.00,-31.00
43,DOLTI,446.50,-3.35,452.80,498.00,429.00,95851.00,462.00,-15.50
44,DORDI,396.00,-1.74,410.00,410.90,395.00,14645.00,403.00,-7.00
45,EBL,499.00,-0.60,495.10,499.50,495.10,13206.00,502.00,-3.00
46,EBLD85,1071.00,-0.94,1063.00,1071.00,1063.00,55.00,1081.20,-10.20
47,EBLD86,984.00,0.20,984.10,984.10,984.00,50.00,982.00,2.00
48,EDBL,384.80,4.00,377.00,386.00,373.00,38615.00,370.00,14.80
49,EHPL,442.90,0.66,443.70,443.70,436.00,4611.00,440.00,2.90
50,ENL,782.00,0.13,766.00,794.00,766.00,803.00,781.00,1.00
51,FMDBL,672.10,-0.87,691.50,697.00,671.30,140953.00,678.00,-5.90
52,FOWAD,1180.00,-0.84,1213.80,1213.80,1156.30,4026.00,1190.00,-10.00
53,GBBD85,1002.10,1.99,1000.00,1002.10,1000.00,308.00,982.50,19.60
54,GBBL,362.10,-0.79,362.00,368.90,362.00,23257.00,365.00,-2.90
55,GBILD86/87,1001.00,2.04,982.00,1001.00,982.00,140.00,981.00,20.00
56,GBIME,173.20,0.70,174.40,174.40,170.00,52164.00,172.00,1.20
57,GBLBS,763.00,1.60,754.00,780.00,736.20,60982.00,751.00,12.00
58,GCIL,478.90,1.35,480.00,480.00,469.00,35843.00,472.50,6.40
59,GFCL,469.00,0.21,475.90,475.90,465.00,17070.00,468.00,1.00
60,GHL,143.90,0.70,144.50,144.50,141.70,42367.00,142.90,1.00
61,GIBF1,8.36,2.45,8.03,8.36,8.03,4300.00,8.16,0.20
62,GILB,1145.00,1.35,1107.20,1174.00,1107.20,33236.00,1129.70,15.30
63,GLBSL,2050.00,2.27,1965.00,2160.00,1888.00,24117.00,2004.50,45.50
64,GLH,203.00,0.00,199.90,205.00,199.90,11249.00,203.00,0.00
65,GMFBS,1180.00,-3.75,1226.00,1226.00,1162.00,910.00,1226.00,-46.00
