#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2024/07/21,335.00,0.96,340.00,321.60,332.00,"304,300","101,808,123.40"
2,2024/07/18,331.80,5.67,340.00,309.00,314.10,"213,901","69,657,317.30"
3,2024/07/17,314.00,1.29,316.20,305.00,316.20,"147,540","45,815,225.80"
4,2024/07/16,310.00,5.44,320.00,288.80,299.00,"270,358","80,587,886.30"
5,2024/07/15,294.00,-1.51,308.00,290.20,304.40,"115,912","34,259,252.80"
6,2024/07/14,298.50,2.58,308.00,294.00,296.80,"113,142","33,735,563.70"
7,2024/07/11,291.00,1.57,291.80,286.00,288.10,"139,159","40,177,460.20"
8,2024/07/10,286.50,0.46,288.00,282.00,283.00,"42,559","12,128,099.30"
9,2024/07/09,285.20,1.68,287.50,278.00,286.10,"274,360","78,261,794.40"
10,2024/07/08,280.50,-0.21,286.40,279.40,282.00,"49,865","14,044,240.70"
11,2024/07/07,281.10,3,283.00,271.00,271.00,"106,759","29,570,800.60"
12,2024/07/04,272.90,0.7,275.00,267.10,270.00,"86,098","23,340,200.90"
13,2024/07/03,271.00,-0.37,274.90,262.00,272.00,"41,796","11,197,687.80"
14,2024/07/02,272.00,1.68,286.60,268.40,272.80,"87,848","23,953,893.40"
15,2024/07/01,267.50,3.28,268.00,256.00,256.00,"62,619","16,596,784.80"
16,2024/06/30,259.00,-0.77,262.90,257.30,262.00,"17,310","4,482,561.40"
17,2024/06/27,261.00,-0.76,265.00,260.00,260.10,"28,727","7,479,023.30"
18,2024/06/26,263.00,0.19,264.00,260.00,260.10,"7,484","1,963,148.10"
19,2024/06/25,262.50,-0.94,267.00,261.00,266.00,"22,605","5,952,486.80"
20,2024/06/24,265.00,1.92,286.00,257.10,265.20,"41,247","10,856,480.70"
21,2024/06/23,260.00,-0.38,287.10,258.00,258.10,"22,427","5,847,220.40"
22,2024/06/20,261.00,-0.76,265.00,258.00,258.00,"14,554","3,791,134.00"
23,2024/06/19,263.00,0.57,266.70,261.10,266.70,"8,129","2,129,622.10"
24,2024/06/18,261.50,-2.43,267.90,261.50,267.90,"19,809","5,224,418.50"
25,2024/06/16,268.00,0.75,270.00,261.20,270.00,"33,067","8,772,513.70"
26,2024/06/13,266.00,-1.12,269.00,264.60,269.00,"17,533","4,657,802.50"
27,2024/06/12,269.00,3.86,282.90,259.60,263.00,"35,200","9,303,155.40"
28,2024/06/11,259.00,1.97,261.00,254.00,259.00,"26,904","6,911,805.40"
